Unnamed: 0,D20,D20 - PLUMBING,D20 - PLUMBING.1
,D2010,PLUMBING FIXTURES,D2010 - PLUMBING FIXTURES
,D2010110,Toilet,D2010110 - TOILET
,D2010210,Urinal,D2010210 - URINAL
,D2010310,Lavatory,D2010310 - LAVATORY
,D2010410,Sink,D2010410 - SINK
,D2010430,Laboratory Sink,D2010430 - LABORATORY SINK
,D2010510,Bathtub,D2010510 - BATHTUB
,D2010610,Group Wash Fountain,D2010610 - GROUP WASH FOUNTAIN
,D2010710,Shower,D2010710 - SHOWER
,D2010810,Drinking Fountain,D2010810 - DRINKING FOUNTAIN
,D2010820,Water Cooler,D2010820 - WATER COOLER
,D2010901,Emergency Shower,D2010901 - EMERGENCY SHOWER
,D2010902,Emergency Eye Wash,D2010902 - EMERGENCY EYE WASH
,D2010903,Bidet,D2010903 - BIDET
,D2020,DOMESTIC WATER DISTRIBUTION,D2020 - DOMESTIC WATER DISTRIBUTION
,D2020210,"Water Heaters, Residential, Elec","D2020210 - WATER HEATERS, RESIDENTIAL, ELEC"
,D2020220,"Water Heaters, Residential, Gas","D2020220 - WATER HEATERS, RESIDENTIAL, GAS"
,D2020230,"Water Heaters, Residential, Oil","D2020230 - WATER HEATERS, RESIDENTIAL, OIL"
,D2020240,"Water Heaters, Commercial, Elec","D2020240 - WATER HEATERS, COMMERCIAL, ELEC"
,D2020250,"Water Heaters, Commercial, Gas","D2020250 - WATER HEATERS, COMMERCIAL, GAS"
,D2020260,"Water Heaters, Commercial, Oil","D2020260 - WATER HEATERS, COMMERCIAL, OIL"
,D2020901,Booster Pump,D2020901 - BOOSTER PUMP
,D2020902,Storage Tank,D2020902 - STORAGE TANK
,D2020903,Backflow Preventer,D2020903 - BACKFLOW PREVENTER
,D2020904,Heat Transfer Package,D2020904 - HEAT TRANSFER PACKAGE
,D2020905,Piping/Fittings,D2020905 - PIPING/FITTINGS
,D2020906,Circulating Pump,D2020906 - CIRCULATING PUMP
,D2030,SANITARY WASTE,D2030 - SANITARY WASTE
,D2030901,Sanitary Waste Separator,D2030901 - SANITARY WASTE SEPARATOR
,D2030902,Waste/Vent Piping,D2030902 - WASTE/VENT PIPING
,D2030905,Sump Pump,D2030905 - SUMP PUMP
,D2040,RAIN WATER DRAINAGE,D2040 - RAIN WATER DRAINAGE
,D2040210,Roof Drains,D2040210 - ROOF DRAINS
,D2090,OTHER PLUMBING SYSTEMS,D2090 - OTHER PLUMBING SYSTEMS
,D30,D30 - HVAC,D30 - HVAC
,D3010,ENERGY SUPPLY,D3010 - ENERGY SUPPLY
,D3020,HEAT GENERATING SYSTEMS,D3020 - HEAT GENERATING SYSTEMS
,D3020126,"Boiler, Electric, Hot Water","D3020126 - BOILER, ELECTRIC, HOT WATER"
,D3020128,"Boiler, Electric, Steam","D3020128 - BOILER, ELECTRIC, STEAM"
,D3020130,"Boiler, Cast Iron, Hot Water, Gas",D3020130 - BOILER CAST IRON HOT WATER GAS
,D3020134,"Boiler, Cast Iron, Steam, Gas","D3020134 - BOILER, CAST IRON, STEAM, GAS"
,D3020136,"Boiler, Cast Iron, Hot Water, Gas/Oil","D3020136 - BOILER, CAST IRON HT WTR GAS/OIL"
,D3020138,"Boiler, Cast Iron, Steam, Gas/Oil","D3020138 - BOILER, CAST IRON, STEAM GAS/OIL"
,D3020311,Boiler Fuel Oil Pump,D3020311 - BOILER FUEL OIL PUMP
,D3020901,"Boiler, Cast Iron, Hot Water, Oil","D3020901 - BOILER, CAST IRON, HT WTR, OIL"
,D3020902,"Boiler, Cast Iron, Steam, Oil","D3020902 - BOILER, CAST IRON, STEAM, OIL"
,D3020903,"Boiler, Solid Fuel","D3020903 - BOILER, SOLID FUEL"
,D3020904,Boiler Feedwater Tank,D3020904 - BOILER FEEDWATER TANK
,D3020905,Furnace,D3020905 - FURNACE
,D3020906,Expansion Tank,D3020906 - EXPANSION TANK
,D3030,COOLING GENERATING SYSTEMS,D3030 - COOLING GENERATING SYSTEMS
,D3030120,"Chiller, Scroll, Air Cooled","D3030120 - CHILLER, SCROLL, AIR COOLED"
,D3030125,"Chiller, Scroll, Water Cooled","D3030125 - CHILLER, SCROLL, WATER COOLED"
,D3030130,"Chiller, Recip, Water Cooled","D3030130 - CHILLER, RECIP, WATER COOLED"
,D3030135,"Chiller, Recip, Air Cooled","D3030135 - CHILLER, RECIP, AIR COOLED"
,D3030140,"Chiller, Centrifugal, Water Cooled","D3030140 - CHILLER, CENTRIFUGAL, WTR COOLED"
,D3030145,"Chiller, Gas Absorption, Water Cooled","D3030145 - CHILLER, GAS ABSO, WTR COOLED"
,D3030150,"Chiller, Steam Absorption, Water Cooled","D3030150 - CHILLER, STEAM ABSO, WTR COOLED"
,D3030160,"Chiller, Screw, Air Cooled","D3030160 - CHILLER, SCREW, AIR COOLED"
,D3030165,"Chiller, Screw, Water Cooled","D3030165 - CHILLER, SCREW, WATER COOLED"
,D3030221,"Condensing Unit, Air Cooled","D3030221 - CONDENSING UNIT, AIR COOLED"
,D3030222,"Condensing Unit, Water Cooled","D3030222 - CONDENSING UNIT, WATER COOLED"
,D3030223,"Split Ductless Heat Pump, Outdoor Unit","D3030223 - SPLIT DUCTLESS HEAT PUMP , OUTDOOR UNIT"
,D3030223,"Split Ductless Unit, Outdoor Unit","D3030223 - SPLIT DUCTLESS UNIT, OUTDOOR UNIT"
,D3030224,"Split System Heat Pump, Outdoor Unit","D3030224 - SPLIT SYSTEM HEAT PUMP , OUTDOOR UNIT"
,D3030225,"Split System Heat Pump, Outdoor Unit","D3030225 - SPLIT SYSTEM HEAT PUMP , OUTDOOR UNIT"
,D3030310,"Cooling Tower, Galvanized","D3030310 - COOLING TOWER, GALVANIZED"
,D3030320,"Cooling Tower, Fiberglass","D3030320 - COOLING TOWER, FIBERGLASS"
,D3030330,"Cooling Tower, Stainless Steel","D3030330 - COOLING TOWER, STAINLESS STEEL"
,D3030901,"Condenser, DX, Air Cooled","D3030901 - CONDENSER, DX, AIR COOLED"
,D3030902,"Condenser, DX, Evaporative","D3030902 - CONDENSER, DX, EVAPORATIVE"
,D3030903,Packaged DX Refrigerant System,D3030903 - PACKAGED DX REFRIGERANT SYSTEM
,D3040,DISTRIBUTION SYSTEMS,D3040 - DISTRIBUTION SYSTEMS
,D3040106,"Air Handling Unit, Field Fab","D3040106 - AIR HANDLING UNIT, FIELD FAB"
,D3040110,"Air Handling Unit, Central Station","D3040110 - AIR HANDLING UNIT, CENTRAL STA"
,D3040114,"Air Handling Unit, Rooftop","D3040114 - AIR HANDLING UNIT, ROOFTOP"
,D3040118,"Fan Coil A/C, Cab Mnt, Two Pipe","D3040118 - FAN COIL A/C, CAB MNT, TWO PIPE"
,D3040122,"Fan Coil A/C, Cab Mnt, Four Pipe","D3040122 - FAN COIL A/C, CAB MNT, FOUR PIPE"
,D3040124,"Fan Coil A/C, Duct Mnt, Two Pipe","D3040124 - FAN COIL A/C, DUCT MOUNT, 2 PIPE"
,D3040128,"Fan Coil A/C, Duct Mnt, Four Pipe","D3040128 - FAN COIL A/C, DUCT MOUNT, 4 PIPE"
,D3040132,VAV Terminal,D3040132 - VAV TERMINAL
,D3040136,"VAV Terminal, Fan Powered","D3040136 - VAV TERMINAL, FAN POWERED"
,D3040220,"Fan System, Centrifugal In-line","D3040220 - FAN SYSTEM, CENTRIFUGAL IN-LINE"
,D3040230,"Fan System, Utility Set","D3040230 - FAN SYSTEM, UTILITY SET"
,D3040240,"Fan System, Roof Exhaust","D3040240 - FAN SYSTEM, ROOF EXHAUST"
,D3040250,Comm/Ind Vacuum Dust Collection,D3040250 - COMM/IND VACUUM DUST COLLECTION
,D3040260,Kitchen Exhaust/Make-up Air,D3040260 - KITCHEN EXHAUST/MAKE-UP AIR
,D3040312,Condensate Return Pump,D3040312 - CONDENSATE RETURN PUMP
,D3040313,"Condensate Return Pump, Duplex","D3040313 - CONDENSATE RETURN PUMP, DUPLEX"
,D3040330,"Circulating Pump, End Suction","D3040330 - CIRCULATING PUMP, END SUCTION"
,D3040340,"Circulating Pump, Double Suction","D3040340 - CIRCULATING PUMP, DOUBLE SUCTION"
,D3040610,"Heat Exchanger, Plate Type","D3040610 - HEAT EXCHANGER, PLATE TYPE"
,D3040620,"Heat Exchanger, Shell Type","D3040620 - HEAT EXCHANGER, SHELL  TUBE"
,D3040901,Dehumidifier,D3040901 - DEHUMIDIFIER
,D3040902,Humidifier,D3040902 - HUMIDIFIER
,D3040903,"Fan Coil A/C, DX","D3040903 - FAN COIL A/C, DX"
,D3040904,"Split Ductless System, Indoor Unit","D3040904 - SPLIT DUCTLESS SYSTEM, INDOOR UNIT"
,D3040905,"Split System Heat Pump, Indoor Unit","D3040905 - SPLIT SYSTEM HEAT PUMP, INDOOR UNIT"
,D3050,TERMINAL & PACKAGE UNITS,D3050 - TERMINAL & PACKAGE UNITS
,D3050120,"Unit Heaters, Gas","D3050120 - UNIT HEATERS, GAS"
,D3050130,"Unit Heaters, Hydronic","D3050130 - UNIT HEATERS, HYDRONIC"
,D3050170,Split Systems Air Cooled Condensing Unit,D3050170 - SPLIT SYSTEMS AIR COOLED CONDENSE UNIT
,D3050175,Rooftop A/C,D3050175 - ROOFTOP A/C
,D3050176,"Rooftop Air Conditioner, Electric Heat","D3050176 - ROOFTOP AIR CONDITIONER, ELECTRIC HEAT"
,D3050178,"Rooftop Air Conditioner, Hot Water Heat","D3050178 - ROOFTOP AIR CONDITIONER, HOT WATER HEAT"
,D3050179,"Rooftop Air Conditioner, Steam Heat","D3050179 - ROOFTOP AIR CONDITIONER, STEAM HEAT"
,D3050185,Computer Room Cooling Units,D3050185 - COMPUTER ROOM COOLING UNITS
,D3050201,"PKG A/C, Air Cooled, Elect Heat","D3050201 - PKG A/C, AIR COOLED, ELEC HEAT"
,D3050203,"PKG A/C, Air Cooled, HW Heat","D3050203 - PKG A/C, AIR COOLED, HW HEAT"
,D3050210,"PKG A/C, Water Cooled, Elect Heat","D3050210 - PKG A/C, WATER COOLED, ELEC HEAT"
,D3050220,"PKG A/C, Water Cooled, HW Heat","D3050220 - PKG A/C, WATER COOLED, HW HEAT"
,D3050230,"Heat Pump, Wtr Source, Cent Sta","D3050230 - HEAT PUMP, WTR SOURCE, CENT STA"
,D3050235,"Heat Pump, Wtr Source, Console","D3050235 - HEAT PUMP, WATER SOURCE, CONSOLE"
,D3050240,"Heat Pump, Duct Mnt, Horizontal","D3050240 - HEAT PUMP, DUCT MNT, HORIZONTAL"
,D3050245,"Heat Pump, Air/Air, Rooftop","D3050245 - HEAT PUMP, AIR/AIR, ROOF TOP"
,D3050255,Thru-Wall Heat A/C Unit,D3050255 - THRU-WALL A/C UNIT
,D3050260,Thru-Wall Heat Heat Pump,D3050260 - THRU-WALL HEAT PUMP
,D3050330,Package Terminal Air Conditioner (PTAC),D3050330 - PACKAGE TERMINAL AIR CONDITIONER (PTAC)
,D3050340,Package Terminal Heat Pump (PTHP),D3050340 - PACKAGE TERMINAL HEAT PUMP (PTHP)
,D3050530,Baseboard Heating,D3050530 - BASEBOARD HEATING
,D3050901,"Unit Heaters, Electric","D3050901 - UNIT HEATERS, ELECTRIC"
,D3050902,"Unit Heater, Infrared","D3050902 - UNIT HEATER, INFRARED"
,D3050904,Smoke Vents,D3050904 - SMOKE VENTS
,D3050905,Hydronic Heating - Fin Tube,D3050905 - HYDRONIC HEATING - FIN TUBE
,D3060,CONTROLS & INSTRUMENTATION,D3060 - CONTROLS & INSTRUMENTATION
,D3060901,"HVAC Controls, Electric, Digital","D3060901 - HVAC CONTROLS, ELECTRIC, DIGITAL"
,D3060902,"HVAC Controls, Pneumatic","D3060902 - HVAC CONTROLS, PNUEMATIC"
,D3060903,Air Compressor,D3060903 - AIR COMPRESSOR
,D3060904,Air Dryer,D3060904 - AIR DRYER
,D3060905,Direct Digial Control (DDC) System,D3060905 - DIRECT DIGITAL CONTROL (DDC) SYSTEM
,D3070,SYSTEMS TESTING & BALANCING,D3070 - SYSTEMS TESTING & BALANCING
,D3090,OTHER HVAC SYSTEMS & EQUIPMENT,D3090 - OTHER HVAC SYSTEMS & EQUIPMENT
,D3090220,Energy Recovery Wheel,D3090220 - ENERGY RECOVERY WHEEL
,D3090310,Fume Hood Exhaust System,D3090310 - FUME HOOD EXHAUST SYSTEM
,D3090320,Garage Exhaust Systems,D3090320 - GARAGE EXHAUST SYSTEMS
,D3090901,Industrial Exhaust System,D3090901 - INDUSTRIAL EXHAUST SYSTEM
,D3090902,Chemical Feedwater,D3090902 - CHEMICAL FEEDWATER
,D3090903,Air Curtain,D3090903 - AIR CURTAIN
,D40,FIRE PROTECTION,D40 - FIRE PROTECTION
,D4010,SPRINKLERS,D4010 - SPRINKLERS
,D4010310,Dry Pipe Systems,D4010310 - DRY PIPE SYSTEMS
,D4010350,Preaction Systems,D4010350 - PREACTION SYSTEMS
,D4010370,Deluge Systems,D4010370 - DELUGE SYSTEMS
,D4010390,Fire Cycle Systems,D4010390 - FIRECYCLE SYSTEMS
,D4010410,Wet Pipe Systems,D4010410 - WET PIPE SYSTEMS
,D4010905,"Fire Pump, Electric Motor Driven","D4010905 - FIRE PUMP, ELECTRIC MOTOR DRIVEN"
,D4010906,"Fire Pump, Engine Driven","D4010906 - FIRE PUMP, ENGINE DRIVIEN"
,D4010907,Jockey Pump,D4010907 - JOCKEY PUMP
,D4010908,Air Compressor,D4010908 - AIR COMPRESSOR
,D4020,D4020 - STANDPIPES,D4020 - STANDPIPES
,D4020310,Riser,D4020310 - RISER
,D4030,D4030 - FIRE PROTECTION SPECIALTIES,D4030 - FIRE PROTECTION SPECIALTIES
,D4090,D4090 - OTHER FIRE PROTECTION SYSTEMS,D4090 - OTHER FIRE PROTECTION SYSTEMS
,D4090901,Carbon Dioxide Extinguishing Syt,D4090901 - CARBON DIOXIDE EXTINGUISHING SYS
,D4090902,Hood Fire Protection,D4090902 - HOOD FIRE PROTECTION
,D4090903,Backflow Preventer,D4090903 - BACKFLOW PREVENTER
,D4090904,Fire Pumps,D4090904 - FIRE PUMPS
,D4090920,Clean Agent Extinguishing Systems,D4090920 - CLEAN AGENT EXTINGUISHING SYSTEM
,D50,nan,D50 - ELECTRICAL
,D5010,nan,D5010 - ELECTRICAL SERVICE & DISTRIBUTION
,D5010120,nan,D5010120 - ELECTRICAL SERVICE
,D5010240,nan,D5010240 - SWITCHGEAR
,D5010901,nan,D5010901 - TRANSFER SWITCH
,D5010902,nan,D5010902 - TRANSFORMER
,D5010903,nan,D5010903 - MOTOR CONTROL CENTER
,D5010905,nan,D5010905 - CAPACITOR BANK
,D5010906,nan,D5010906 - PANELBOARDS
,D5020,nan,D5020 - LIGHTING & BRANCH WIRING
,D5020120,nan,D5020120 - ELECTRICAL DISTRIBUTION
,D5020248,nan,"D5020248 - INTERIOR LIGHTING, FLUORECENT"
,D5020250,nan,"D5020250 - INTERIOR LIGHTING, INCANDESCENT"
,D5020252,nan,"D5020252 - INTERIOR LIGHTING, HIGH INT"
,D5020901,nan,D5020901 - EXIT LIGHTING
,D5020902,nan,D5020902 - EXPLOSION PROOF LIGHTING
,D5020903,nan,D5020903 - EXTERIOR LIGHTING
,D5030,nan,D5030 - COMMUNICATION AND SECURITY
,D5030910,nan,D5030910 - COMMUNICATION/ALARM SYSTEMS
,D5030911,nan,D5030911 - FIRE ALARM CONTROL PANEL & ALARM SYSTEM
,D5030930,nan,D5030930 - MASTER BOX
,D5090,nan,D5090 - OTHER ELECTRICAL SYSTEMS
,D5090210,nan,D5090210 - GENERATORS
,D5090901,nan,D5090901 - EMERGENCY LIGHTING
,D5090902,nan,D5090902 - LIGHTNING PROTECTION (ARRESTERS)
,D5090903,nan,D5090903 - GROUNDING SYSTEM
,D5090904,nan,D5090904 - UNINTERUPTIBLE POWER SUPPLY
,E10,nan,E10 - EQUIPMENT
,E1010,nan,E1010 - COMMERCIAL EQUIPMENT
,E1010220,nan,"E1010220 - CONDENSING UNIT, AIR COOLED"
,E1010901,nan,"E1010901 - CONDENSER, DX, AIR COOLED"
,E1010910,nan,E1010910 - REFRIGERATOR/FREEZER WALK-IN BOX
,E1020,nan,E1020 - INSTITUTIONAL EQUIPMENT
,E1030,nan,E1030 - VEHICULAR EQUIPMENT
,E1030110,nan,E1030110 - VEHICULAR SERVICE EQUIPMENT
,E1030111,nan,E1030111 - AIR COMPRESSOR
,E1030112,nan,E1030112 - AIR DRYER
,E1030310,nan,E1030310 - LOADING DOCK EQUIPMENT
,E1040,nan,E1040 - INDUSTRIAL PROCESS EQUIPMENT
,E1090,nan,E1090 - OTHER EQUIPMENT
,E20,nan,E20 - FURNISHINGS
,E2010,nan,E2010 - FIXED FURNISHINGS
,E2020,nan,E2020 - MOVEABLE FURNISHINGS
,E202002,nan,E202002 - MODULAR PREFABRICATED FURNITURE
