MF,ITEM,Column1,Column2
23 06 70 13,"Indoor, Central-Station Air-Handling Unit Schedule",,
23 06 70 16,Packaged Outdoor HVAC Equipment Schedule,,
23 06 80,Schedules for Decentralized HVAC Equipment,,
23 06 80 13,Decentralized Unitary HVAC Equipment Schedule,,
23 06 80 16,Convection Heating and Cooling Unit Schedule,,
23 06 80 19,Radiant Heating and Cooling Unit Schedule,,
23 07 00,HVAC Insulation,D3070.90,Insulation
23 07 13,Duct Insulation,,
23 07 16,HVAC Equipment Insulation,,
23 07 19,HVAC Piping Insulation,,
23 08 00,Commissioning of HVAC,,
23 09 00,Instrumentation and Control for HVAC,D3070.90,Instrumentation and Control
23 09 13,Instrumentation and Control Devices for HVAC,,
23 09 13 13,Actuators and Operators,,
23 09 13 23,Sensors and Transmitters,,
23 09 13 33,Control Valves,,
23 09 13 43,Control Dampers,,
23 09 23,Direct-Digital Control System for HVAC,,
23 09 23 11,Control Valves,,
23 09 23 12,Control Dampers,,
23 09 23 13,Energy Meters,,
23 09 23 14,Flow Instruments,,
23 09 23 16,Gas Instruments,,
23 09 23 17,Level Instruments,,
23 09 23 18,Leak Detection Instruments,,
23 09 23 19,Moisture Instruments,,
23 09 23 21,Motion Instruments,,
23 09 23 22,Position Instruments,,
23 09 23 23,Pressure Instruments,,
23 09 23 24,Speed Instruments,,
23 09 23 27,Temperature Instruments,,
23 09 23 33,Vibration Instruments,,
23 09 23 43,Weather Stations,,
23 09 33,Electric and Electronic Control System for HVAC,,
23 09 43,Pneumatic Control System for HVAC,,
23 09 53,Pneumatic and Electric Control System for HVAC,,
23 09 93,Sequence of Operations for HVAC Controls,,
23 09 93 11,Sequence of Operation for HVAC DDC,,
23 10 00,Facility Fuel Systems,,
23 11 00,Facility Fuel Piping,D3010.10,Fuel Piping
23 11 13,Facility Fuel-Oil Piping,,
23 11 16,Facility Gasoline Piping,,
23 11 23,Facility Natural-Gas Piping,,
23 11 26,Facility Liquefied-Petroleum Gas Piping,,
23 12 00,Facility Fuel Pumps,D3010.30,Fuel Pumps
23 12 13,Facility Fuel-Oil Pumps,D3010.30,Facility Fuel-Oil Pumps
23 12 16,Facility Gasoline Dispensing Pumps,D3010.30,Facility Gasoline Dispensing Pumps
23 12 26,Facility Liquefied-Petroleum Gas Pumps,,
23 13 00,Facility Fuel-Storage Tanks,D3010.50,Fuel Storage Tanks
23 13 13,"Facility Underground Fuel-Oil, Storage Tanks",,
23 13 13 13,"Double-Wall Steel, Underground Fuel-Oil, Storage Tanks",,
23 13 13 16,"Composite, Steel, Underground Fuel-Oil, Storage Tanks",,
23 13 13 19,"Jacketed, Steel, Underground Fuel-Oil, Storage Tanks",,
23 13 13 23,"Glass-Fiber-Reinforced-Plastic, Underground Fuel-Oil, Storage Tanks",,
23 13 13 33,Fuel-Oil Storage Tank Pumps,,
23 13 23,"Facility Aboveground Fuel-Oil, Storage Tanks",,
23 13 23 13,"Vertical, Steel, Aboveground Fuel-Oil, Storage Tanks",,
23 13 23 16,"Horizontal, Steel, Aboveground Fuel-Oil, Storage Tanks",,
23 13 23 19,"Containment-Dike, Steel, Aboveground Fuel-Oil, Storage Tanks",,
23 13 23 23,"Insulated, Steel, Aboveground Fuel-Oil, Storage Tanks",,
23 13 23 26,"Concrete-Vaulted, Steel, Aboveground Fuel-Oil, Storage Tanks",,
23 13 26,Facility Aboveground Liquefied-Petroleum Gas Storage Tanks,,
23 20 00,HVAC Piping and Pumps,,
23 21 00,Hydronic Piping and Pumps,,
23 21 13,Hydronic Piping,D3050.10,Hydronic Piping System
23 21 13 13,Underground Hydronic Piping,,
23 21 13 23,Aboveground Hydronic Piping,,
23 21 13 33,Ground-Loop Heat-Pump Piping,,
23 21 16,Hydronic Piping Specialties,,
23 21 23,Hydronic Pumps,D3050.10,Hydronic Pumps
23 21 23 13,In-Line Centrifugal Hydronic Pumps,,
23 21 23 16,"Base-Mounted, Centrifugal Hydronic Pumps",,
23 21 23 19,"Vertical-Mounted, Double-Suction Centrifugal Hydronic Pumps",,
23 21 23 23,Vertical-Turbine Hydronic Pumps,,
23 21 29,Automatic Condensate Pump Units,,
23 22 00,Steam and Condensate Piping and Pumps,,
23 22 13,Steam and Condensate Piping,D3050.30,Steam Piping
23 22 13 13,Underground Steam and Condensate Piping,,
23 22 13 23,Aboveground Steam and Condensate Piping,,
23 22 16,Steam and Condensate Piping Specialties,,
23 22 23,Steam Condensate Pumps,D3050.30,Steam Condensate Pumps
23 22 23 13,Electric-Driven Steam Condensate Pumps,,
23 22 23 23,Pressure-Powered Steam Condensate Pumps,,
23 23 00,Refrigerant Piping,,
23 23 13,Refrigerant Piping Valves,,
23 23 16,Refrigerant Piping Specialties,,
23 23 19,Refrigerant Safety Relief Valve Discharge Piping,,
23 23 23,Refrigerants,,
23 24 00,Internal-Combustion Engine Piping,,
23 24 13,Internal-Combustion Engine Remote-Radiator Coolant Piping,,
23 24 16,Internal-Combustion Engine Exhaust Piping,,
23 25 00,HVAC Water Treatment,D3050.10,Water Treatment for Hydronic Systems
23 25 13,Water Treatment for Closed-Loop Hydronic Systems,,
23 25 16,Water Treatment for Open Hydronic Systems,,
23 25 19,Water Treatment for Steam System Feedwater,D3050.30,Water Treatment for Steam Systems
23 25 23,Water Treatment for Humidification Steam System Feedwater,,
23 25 26,Electronic Water Conditioning for HVAC Systems,,
23 25 33,HVAC Makeup-Water Filtration Equipment,,
23 30 00,HVAC Air Distribution,D3050.50,HVAC Air Distribution Components
23 31 00,HVAC Ducts and Casings,D3060.40,Outside Air Ducts and Casings
23 31 13,Metal Ducts,,
23 31 13 13,Rectangular Metal Ducts,,
23 31 13 16,Round and Flat-Oval Spiral Ducts,,
23 31 13 19,Metal Duct Fittings,,
23 31 16,Nonmetal Ducts,,
23 31 16 13,Fibrous-Glass Ducts,,
23 31 16 16,Thermoset Fiberglass-Reinforced Plastic Ducts,,
23 31 16 19,PVC Ducts,,
23 31 16 26,Concrete Ducts,,
23 31 19,HVAC Casings,,
23 32 00,Air Plenums and Chases,D3060.40,Outside Air Plenums and Chases
23 32 13,"Fabricated, Metal Air Plenums",,
23 32 33,Air-Distribution Ceiling Plenums,,
23 32 36,Air-Distribution Floor Plenums,,
23 32 39,Air-Distribution Wall Plenums,,
23 32 43,Air-Distribution Chases Formed by General Construction,,
23 32 48,Acoustical Air Plenums,,
23 33 00,Air Duct Accessories,D3060.40,Outside Air Duct Accessories
23 33 13,Dampers,,
23 33 13 13,Volume-Control Dampers,,
23 33 13 16,Fire Dampers,,
23 33 13 19,Smoke-Control Dampers,,
23 33 13 23,Backdraft Dampers,,
23 33 19,Duct Silencers,,
23 33 23,Turning Vanes,,
23 33 33,Duct-Mounting Access Doors,,
23 33 38,Duct Security Bars,,
23 33 43,Flexible Connectors,,
23 33 46,Flexible Ducts,,
23 33 53,Duct Liners,,
23 34 00,HVAC Fans,D3060.40,Outside Air
23 34 13,Axial HVAC Fans,,
23 34 16,Centrifugal HVAC Fans,,
23 34 23,HVAC Power Ventilators,,
23 34 33,Air Curtains,,
23 34 39,"High-Volume, Low-Speed Propeller Fans",,
23 35 00,Special Exhaust Systems,D3060.30,Exhaust Air
23 35 13,Dust Collection Systems,,
23 35 13 13,Sawdust Collection Systems,,
23 35 16,Engine Exhaust Systems,D3060.30,Engine Exhaust Systems
23 35 16 13,Positive-Pressure Engine Exhaust Systems,,
23 35 16 16,Mechanical Engine Exhaust Systems,,
23 35 33,Listed Kitchen Ventilation Exhaust System,,
23 36 00,Air Terminal Units,D3060.40,Outside Air Terminal Units
23 36 13,Constant-Air-Volume Units,,
23 36 16,Variable-Air-Volume Units,,
23 37 00,Air Outlets and Inlets,D3060.40,Outside Air Outlets and Inlets
23 37 13,"Diffusers, Registers, and Grilles",,
23 37 13 43,Security Registers and Grilles,,
23 37 16,Fabric Air Distribution Devices,,
23 37 23,HVAC Gravity Ventilators,,
23 37 23 13,HVAC Gravity Dome Ventilators,,
23 37 23 16,HVAC Gravity Louvered-Penthouse Ventilators,,
23 37 23 19,HVAC Gravity Upblast Ventilators,,
23 38 00,Ventilation Hoods,D3060.30,Ventilation Hoods
23 38 13,Commercial-Kitchen Hoods,D3060.30,Commercial Kitchen Hoods
23 38 13 13,Listed Commercial-Kitchen Hoods,,
23 38 13 16,Standard Commercial-Kitchen Hoods,,
23 38 16,Fume Hoods,D3060.30,Fume Hood Exhaust
23 40 00,HVAC Air Cleaning Devices,D3060.70,HVAC Air Cleaning
23 41 00,Particulate Air Filtration,D3050.50,Particulate Air Filtration
23 41 13,Panel Air Filters,,
23 41 16,Renewable-Media Air Filters,,
23 41 19,Washable Air Filters,,
23 41 23,Extended Surface Filters,,
23 41 33,High-Efficiency Particulate Filtration,,
23 41 43,Ultra-Low Penetration Filtration,,
23 41 46,Super Ultra-Low Penetration Filtration,,
23 42 00,Gas-Phase Air Filtration,D3050.50,Gas-Phase Air Filtration
23 42 13,Activated-Carbon Air Filtration,,
23 42 16,Chemically-Impregnated Adsorption Air Filtration,,
23 42 19,Catalytic-Adsorption Air Filtration,,
23 43 00,Electronic Air Cleaners,D3050.50,Electronic Air Cleaners
23 43 13,Washable Electronic Air Cleaners,,
23 43 16,Agglomerator Electronic Air Cleaners,,
23 43 23,Self-Contained Electronic Air Cleaners,,
23 50 00,Central Heating Equipment,,
23 51 00,"Breechings, Chimneys, and Stacks",D3020.10,Breechings Chimneys and Stacks
23 51 13,Draft Control Devices,,
23 51 13 11,Draft Control Fans,,
23 51 13 13,Draft-Induction Fans,,
23 51 13 16,Vent Dampers,,
23 51 13 19,Barometric Dampers,,
23 51 16,Fabricated Breechings and Accessories,,
23 51 19,Fabricated Stacks,,
23 51 23,Gas Vents,,
23 51 33,Insulated Sectional Chimneys,,
23 51 43,Flue-Gas Filtration Equipment,,
23 51 43 13,Gaseous Filtration,,
23 51 43 16,Particulate Filtration,,
23 52 00,Heating Boilers,D3020.10,Fuel-Fired Heating Boilers
23 52 13,Electric Boilers,D3020.10,Electric Heating Boilers
23 52 16,Condensing Boilers,,
23 52 16 13,Stainless-Steel Condensing Boilers,,
23 52 16 16,Aluminum Condensing Boilers,,
23 52 17,Low Mass Boilers,,
23 52 19,Pulse Combustion Boilers,,
23 52 23,Cast-Iron Boilers,,
23 52 33,Water-Tube Boilers,,
23 52 33 13,Finned Water-Tube Boilers,,
23 52 33 14,Flexible Water-Tube Boilers,,
23 52 33 16,Steel Water-Tube Boilers,,
23 52 33 19,Copper Water-Tube Boilers,,
23 52 39,Fire-Tube Boilers,,
23 52 39 13,Scotch Marine Boilers,,
23 52 39 16,Steel Fire-Tube Boilers,,
23 52 83,Boiler Blowdown Systems,,
23 53 00,Heating Boiler Feedwater Equipment,D3020.10,Heating Boiler Feedwater Equipment
23 53 13,Boiler Feedwater Pumps,D3020.10,Boiler Feedwater Pumps
23 53 16,Deaerators,D3020.10,Deaerators
23 54 00,Furnaces,D3020.10,Furnaces
23 54 13,Electric-Resistance Furnaces,,
23 54 16,Fuel-Fired Furnaces,,
23 54 16 13,Gas-Fired Furnaces,,
23 54 16 16,Oil-Fired Furnaces,,
23 55 00,Fuel-Fired Heaters,D3020.10,Fuel-Fired Heaters
23 55 13,Fuel-Fired Duct Heaters,,
23 55 13 13,Oil-Fired Duct Heaters,,
23 55 13 16,Gas-Fired Duct Heaters,,
23 55 23,Gas-Fired Radiant Heaters,,
23 55 23 13,Low-Intensity Gas-Fired Radiant Heaters,,
23 55 23 16,High-Intensity Gas-Fired Radiant Heaters,,
23 55 33,Fuel-Fired Unit Heaters,,
23 55 33 13,Oil-Fired Unit Heaters,,
23 55 33 16,Gas-Fired Unit Heaters,,
23 56 00,Solar Energy Heating Equipment,D3020.10,Solar Heat Generation
23 56 13,Heating Solar Collectors,D3020.10,Heating Solar Collectors
23 56 13 13,Heating Solar Flat-Plate Collectors,,
23 56 13 16,Heating Solar Concentrating Collectors,,
23 56 13 19,Heating Solar Vacuum-Tube Collectors,,
23 56 16,Packaged Solar Heating Equipment,D3020.10,Packaged Solar Heating Equipment
23 56 23,Solar Air-Heating Panels,,
23 57 00,Heat Exchangers for HVAC,D3020.10,Heat Exchangers for HVAC
23 57 13,Steam-to-Steam Heat Exchangers,,
23 57 16,Steam-to-Water Heat Exchangers,,
23 57 19,Liquid-to-Liquid Heat Exchangers,,
23 57 19 13,"Plate-Type, Liquid-to-Liquid Heat Exchangers",,
23 57 19 16,"Shell-Type, Liquid-to-Liquid Heat Exchangers",,
23 57 33,Direct Geoexchange Heat Exchangers,,
23 60 00,Central Cooling Equipment,D3030.10,Central Cooling
23 61 00,Refrigerant Compressors,D3030.10,Refrigerant Compressors
23 61 13,Centrifugal Refrigerant Compressors,,
23 61 13 13,Non-Condensable Gas Purge Equipment,,
23 61 16,Reciprocating Refrigerant Compressors,,
23 61 19,Scroll Refrigerant Compressors,,
23 61 23,Rotary-Screw Refrigerant Compressors,,
23 62 00,Packaged Compressor and Condenser Units,D3030.10,Packaged Compressor and Condenser Units
23 62 13,Packaged Air-Cooled Refrigerant Compressor and Condenser Units,,
23 62 23,Packaged Water-Cooled Refrigerant Compressor and Condenser Units,,
23 62 46,Packaged Variable-Refrigerant-Flow Air-Conditioning Systems,,
23 63 00,Refrigerant Condensers,D3030.10,Refrigerant Condensers
23 63 13,Air-Cooled Refrigerant Condensers,,
23 63 23,Water-Cooled Refrigerant Condensers,,
23 63 33,Evaporative Refrigerant Condensers,,
23 64 00,Packaged Water Chillers,D3030.10,Water Chillers
23 64 13,Absorption Water Chillers,,
23 64 13 13,Direct-Fired Absorption Water Chillers,,
23 64 13 16,Indirect-Fired Absorption Water Chillers,,
23 64 16,Centrifugal Water Chillers,,
23 64 16 13,Air-Cooled Centrifugal Water Chillers,,
23 64 16 16,Water-Cooled Centrifugal Water Chillers,,
23 64 19,Reciprocating Water Chillers,,
23 64 23,Scroll Water Chillers,,
23 64 23 13,Air-Cooled Scroll Water Chillers,,
23 64 23 16,Water-Cooled Scroll Water Chillers,,
23 64 26,Rotary-Screw Water Chillers,,
23 64 26 13,"Air-Cooled, Rotary-Screw Water Chillers",,
23 64 26 16,"Water-Cooled, Rotary-Screw Water Chillers",,
23 64 33,Modular Water Chillers,,
23 64 33 13,"Air-Cooled, Modular Water Chillers",,
23 64 33 16,"Water-Cooled, Modular Water Chillers",,
23 65 00,Cooling Towers,D3030.10,Cooling Towers
23 65 13,Forced-Draft Cooling Towers,,
23 65 13 13,"Open-Circuit, Forced-Draft Cooling Towers",,
23 65 13 16,"Closed-Circuit, Forced-Draft Cooling Towers",,
23 65 14,Induced-Draft Cooling Towers,,
23 65 14 13,"Open-Circuit, Induced-Draft Counterflow Cooling Towers",,
23 65 14 14,"Open-Circuit, Induced-Draft Crossflow Cooling Towers",,
23 65 14 16,"Closed-Circuit, Induced-Draft Counterflow Cooling Towers",,
23 65 14 17,"Closed-Circuit, Induced-Draft Combined-Flow Cooling Towers",,
23 65 16,Natural-Draft Cooling Towers,,
23 65 23,Field-Erected Cooling Towers,,
23 65 33,Liquid Coolers,,
23 70 00,Central HVAC Equipment,,
23 71 00,Thermal Storage,D3030.50,Thermal Cooling Storage
23 71 13,Thermal Heat Storage,D3020.30,Thermal Heat Storage
23 71 13 13,Room Storage Heaters for Thermal Storage,,
23 71 13 16,Heat-Pump Boosters for Thermal Storage,,
23 71 13 19,Central Furnace Heat-Storage Units,,
23 71 13 23,Pressurized-Water Thermal Storage Tanks,,
23 71 16,Chilled-Water Thermal Storage,D3030.50,Chilled-Water Thermal Storage
23 71 19,Ice Storage,D3030.50,Ice Storage
23 71 19 13,Internal Ice-on-Coil Thermal Storage,,
23 71 19 16,External Ice-on-Coil Thermal Storage,,
23 71 19 19,Encapsulated-Ice Thermal Storage,,
23 71 19 23,Ice-Harvesting Thermal Storage,,
23 71 19 26,Ice-Slurry Thermal Storage,,
23 72 00,Air-to-Air Energy Recovery Equipment,D3060.60,Air-to-Air Energy Recovery
23 72 13,Heat-Wheel Air-to-Air Energy-Recovery Equipment,,
23 72 16,Heat-Pipe Air-to-Air Energy-Recovery Equipment,,
23 72 19,Fixed-Plate Air-to-Air Energy-Recovery Equipment,,
23 72 23,Packaged Air-to-Air Energy-Recovery Units,,
23 73 00,Indoor Central-Station Air-Handling Units,D3050.50,Indoor Central-Station Air-Handling Units
23 73 13,Modular Indoor Central-Station Air-Handling Units,,
23 73 23,Custom Indoor Central-Station Air-Handling Units,,
23 73 33,Indoor Indirect Fuel-Fired Heating and Ventilating Units,,
23 73 33 13,Indoor Indirect Oil-Fired Heating and Ventilating Units,,
23 73 33 16,Indoor Indirect Gas-Fired Heating and Ventilating Units,,
23 73 39,"Indoor, Direct Gas-Fired Heating and Ventilating Units",,
23 74 00,Packaged Outdoor HVAC Equipment,D3050.50,Packaged Outdoor HVAC Equipment
23 74 13,"Packaged, Outdoor, Central-Station Air-Handling Units",,
23 74 16,Packaged Rooftop Air-Conditioning Units,,
23 74 16 11,"Packaged, Small-Capacity, Rooftop Air-Conditioning Units",,
23 74 16 12,"Packaged, Intermediate-Capacity, Rooftop Air-Conditioning Units",,
23 74 16 13,"Packaged, Large-Capacity, Rooftop Air-Conditioning Units",,
23 74 23,"Packaged, Outdoor, Heating-Only Makeup-Air Units",,
23 74 23 13,"Packaged, Direct-Fired, Outdoor, Heating-Only Makeup-Air Units",,
23 74 23 16,"Packaged, Indirect-Fired, Outdoor, Heating-Only Makeup-Air Units",,
23 74 33,Dedicated Outdoor-Air Units,,
23 75 00,Custom-Packaged Outdoor HVAC Equipment,D3050.50,Custom-Packaged Outdoor HVAC Equipment
23 75 13,"Custom-Packaged, Outdoor, Central-Station Air-Handling Units",,
23 75 16,"Custom-Packaged, Rooftop Air-Conditioning Units",,
23 75 23,"Custom-Packaged, Outdoor, Heating and Ventilating Makeup-Air Units",,
23 75 33,"Custom-Packaged, Outdoor, Heating and Cooling Makeup Air-Conditioners",,
23 76 00,Evaporative Air-Cooling Equipment,D3030.30,Evaporative Air-Cooling
23 76 13,Direct Evaporative Air Coolers,,
23 76 16,Indirect Evaporative Air Coolers,,
23 76 19,Combined Direct and Indirect Evaporative Air Coolers,,
23 80 00,Decentralized HVAC Equipment,D3030.70,Decentralized Cooling
23 81 00,Decentralized Unitary HVAC Equipment,,
23 81 13,Packaged Terminal Air-Conditioners,D3030.70,Packaged Terminal Air-Conditioners
23 81 13 11,"Packaged Terminal Air-Conditioners, Through-Wall Units",,
23 81 13 12,"Packaged Terminal Air-Conditioners, Freestanding Units",,
23 81 13 13,"Packaged Terminal Air-Conditioners, Outdoor, Wall-Mounted Units",,
23 81 16,Room Air-Conditioners,D3030.70,Room Air-Conditioners
23 81 19,Self-Contained Air-Conditioners,D3030.70,Self-Contained Air-Conditioners
23 81 19 13,Small-Capacity Self-Contained Air-Conditioners,,
23 81 19 16,Large-Capacity Self-Contained Air-Conditioners,,
23 81 23,Computer-Room Air-Conditioners,D3030.70,Computer-Room Air-Conditioners
23 81 23 11,"Small-Capacity, Computer-Room Air-Conditioners, Floor Mounted Units",,
23 81 23 12,"Large-Capacity, Computer-Room Air-Conditioners, Floor-Mounted Units",,
23 81 23 13,"Computer-Room Air-Conditioners, Ceiling Mounted Units",,
23 81 23 14,"Computer-Room Air-Conditioners, Console Units",,
23 81 23 16,"Computer-Room Air-Conditioners, Rack Mounted, Space-Cooling Units",,
23 81 23 18,"Computer-Room, Rack-Cooling Equipment",,
23 81 26,Split-System Air-Conditioners,D3030.70,Split-System Air-Conditioners
23 81 26 13,Small-Capacity Split-System Air-Conditioners,,
23 81 26 16,Large-Capacity Split-System Air-Conditioners,,
23 81 29,Variable Refrigerant Flow HVAC Systems,,
23 81 43,Air-Source Unitary Heat Pumps,D3030.70,Air-Source Heat Pumps
23 81 46,Water-Source Unitary Heat Pumps,D3030.70,Water-Source Heat Pumps
23 81 49,Ground-Source Unitary Heat Pumps,,
23 82 00,Convection Heating and Cooling Units,,
23 82 13,Valance Heating and Cooling Units,D3030.70,Valance Cooling Units
23 82 14,Chilled Beams,D3030.70,Chilled Beams
23 82 16,Air Coils,D3030.70,Air Coils
23 82 16 11,Hydronic Air Coils,,
23 82 16 12,Steam Air Coils,,
23 82 16 13,Refrigerant Air Coils,,
23 82 16 14,Electric-Resistance Air Coils,,
23 82 19,Fan Coil Units,D3030.70,Fan Coil Units
23 82 23,Unit Ventilators,D3030.70,Unit Ventilators
23 82 26,Induction Units,D3030.70,Induction Units
23 82 29,Radiators,D3020.70,Radiators
23 82 33,Convectors,D3030.70,Convectors
23 82 36,Finned-Tube Radiation Heaters,D3020.70,Finned-Tube Radiation Heaters
23 82 39,Unit Heaters,D3020.70,Unit Heaters
23 82 39 13,Cabinet Unit Heaters,,
23 82 39 16,Propeller Unit Heaters,,
23 82 39 19,Wall and Ceiling Unit Heaters,,
23 82 41,Water-to-Water Heat Pumps,,
23 83 00,Radiant Heating and Cooling Units,D3020.70,Radiant Heating Units
23 83 13,Radiant-Heating Electric Cables,D3070.10,Radiant-Heating Electric Cables
23 83 13 16,Radiant-Heating Electric Mats,,
23 83 16,Radiant Heating and Cooling Hydronic Piping,D3070.10,Radiant-Heating Hydronic Piping
23 83 23,Radiant-Heating Electric Panels,,
23 83 26,Radiant Heating and Cooling Hydronic Panels,,
23 83 33,Electric Radiant Heaters,,
23 84 00,Humidity Control Equipment,D3050.50,Humidity Control
23 84 13,Humidifiers,,
23 84 13 13,Heated-Pan Humidifiers,,
23 84 13 16,Wetted-Element Humidifiers,,
23 84 13 19,Atomizing Humidifiers,,
23 84 13 23,Direct-Steam-Injection Humidifiers,,
23 84 13 26,"Jacketed, Steam Humidifiers",,
23 84 13 29,Self-Contained Steam Humidifiers,,
23 84 13 33,Portable Humidifiers,,
23 84 16,Mechanical Dehumidification Units,,
23 84 16 13,"Outdoor, Mechanical Dehumidification Units",,
23 84 16 16,"Indoor, Mechanical Dehumidification Units",,
23 84 16 33,Portable Dehumidifiers,,
23 84 19,Desiccant Dehumidification Units,,
