Manufacturer,Representative,Product_Description
Condair,"Integrated Control Systems, Inc.","Atomizing, Live Steam, & Gas-Fired Humidifiers, Electrode Steam Humidifiers"
Coolerado – Seeley,"Integrated Control Systems, Inc.",Compact Modular Indirect Evaporative Cooling Solutions
Critical Room Control (CRC),"Integrated Control Systems, Inc.",Laboratory & Healthcare Critical Room Airflow Equipment & Controls
Dadanco,"Integrated Control Systems, Inc.",Active Chilled Beams/Induction Diffusers
Daikin,"Integrated Control Systems, Inc.","Water Source Heat Pumps, Air Cooled Chillers, Water Cooled Chillers, HVAC Coils, Indoor & Rooftop Air Handling Units, PTAC Units, Self-"
Manufacturer/Brand,"Integrated Control Systems, Inc.",Products/Systems
DAMS,"Integrated Control Systems, Inc.",Architectural Wall Panel Systems & Sunshades
Denlar,"Integrated Control Systems, Inc.",Light Commercial Kitchen Hoods
Distech Controls,"Integrated Control Systems, Inc.",Building Automation & Temperature Controls
Easco,"Integrated Control Systems, Inc.",Hydronic & Steam Boilers
Energy Labs,"Integrated Control Systems, Inc.",Custom Air Handling Solutions
Environmental Technologies,"Integrated Control Systems, Inc.","Air Handling Units, Fan Coil Units, VAV & Fan Powered Terminal Units"
Fafco,"Integrated Control Systems, Inc.",Thermal Ice Storage Systems
Friedrich,"Integrated Control Systems, Inc.","Window, Through Wall, Portable & Ductless Air Conditioning"
Genetec,"Integrated Control Systems, Inc.",Access Control Systems
GreaseMaster,"Integrated Control Systems, Inc.",Commercial Kitchen Ventilation
Griswold Controls,"Integrated Control Systems, Inc.","Hydronic Valves, Control Valves"
Haakon,"Integrated Control Systems, Inc.",Custom Air Handling Units
Halton,"Integrated Control Systems, Inc.",Commercial Kitchen Ventilation Systems
Hansen Railings,"Integrated Control Systems, Inc.",Architectural Railing Systems
Hanwha,"Integrated Control Systems, Inc.",Video Cameras & Management Systems
Hercules,"Integrated Control Systems, Inc.","Flexible Duct, Spin-In Fittings, & Spiral Duct"
Howden American,"Integrated Control Systems, Inc.","Vane Axial Fans, Parking Garage Ventilation Systems"
ICT,"Integrated Control Systems, Inc.",Access Control Systems
ISO-Aire,"Integrated Control Systems, Inc.",Air Purification Units
Innovent,"Integrated Control Systems, Inc.","Air to Air Heat Exchangers, Custom Air HandlingUnits, Swimming Pool Dehumidification Units, Evaporative Condensing Chillers"
KE Fibertec,"Integrated Control Systems, Inc.",Specialty Fiber Duct
KMC,"Integrated Control Systems, Inc.",Building Automation & Temperature Controls
Krueger,"Integrated Control Systems, Inc.","Grilles, Registers & Diffusers, Hospital Operating Room Systems, Underfloor AirSystems, VAV & Fan Powered Terminal Units"
LINEA,"Integrated Control Systems, Inc.",Architectural Screen Walls
Lenel S2,"Integrated Control Systems, Inc.",Access Control Systems
MacroAir,"Integrated Control Systems, Inc.",High Volume Low Velocity Fans
Mars,"Integrated Control Systems, Inc.","Air Curtains, Air Doors"
MBCI,"Integrated Control Systems, Inc.",Metal Roof & Wall Panel Systems
McGill Airflow LLC,"Integrated Control Systems, Inc.","Specialty Ductwork, Dampers, Grilles, Diffusers"
Metropolitan Air,"Integrated Control Systems, Inc.",Cable Operated Dampers
Miura,"Integrated Control Systems, Inc.",Steam Boilers
Company/Brand,"Integrated Control Systems, Inc.",Products/Services
Monoxivent,"Integrated Control Systems, Inc.","Dust & Fume Source Capture Systems, Vehicle Exhaust Capture Systems, Fiberglass Reinforced Pipe"
MS Metal Sales,"Integrated Control Systems, Inc.",Architectural Panel Systems
Munters,"Integrated Control Systems, Inc.",Dehumidification & Specialty Air Handling Solutions
Patterson Pumps,"Integrated Control Systems, Inc.","Domestic Water Booster Systems, HVAC Pumps"
PennBarry,"Integrated Control Systems, Inc.","Energy Recovery Units, Centrifugal Fans, Gravity Roof Ventilators, Power Roof Ventilators, In-Line Cabinet, Fans, Utility Set Fans, Prop Fans & Vertical/Axial Fans, Laboratory Exhaust Fans"
Plastec,"Integrated Control Systems, Inc.",Corrosion Resistant Polypropylene Fume Exhaust Fans & Blowers
Precision Coil,"Integrated Control Systems, Inc.",Water & Direct Expansion Coils
PVI,"Integrated Control Systems, Inc.","Water Heaters, Gas Water Heaters, Electric Water Heaters, Storage Tanks & Water Boilers"
Raypak,"Integrated Control Systems, Inc.",Hydronic Boilers
Raywall,"Integrated Control Systems, Inc.",Electric Heat
Riverside Hydronics,"Integrated Control Systems, Inc.","Hot Water heating Boilers, Domestic Water Heaters"
Ruskin,"Integrated Control Systems, Inc.","Air Measurement Devices, Control Dampers, Fire & Smoke Dampers, Louvres, Sound Control Products"
Salto,"Integrated Control Systems, Inc.",Wireless Card Access Systems
Security Duravent,"Integrated Control Systems, Inc.","Boiler Flue Pipe, Single & Double Wall Flue Pipe"
Sellers,"Integrated Control Systems, Inc.",Hydronic Boilers
SHARC Energy Systems,"Integrated Control Systems, Inc.",Wastewater Heat Recovery Solutions
Sigma,"Integrated Control Systems, Inc.",Hydronic Heating Products
Sondex,"Integrated Control Systems, Inc.",Hydronic Heat Exchangers
Spirotherm,"Integrated Control Systems, Inc.",Hydronic Specialty Air Control & Dirt Separators
Superior Boilers,"Integrated Control Systems, Inc.",Hydronic & Steam Boilers
Superior Radiant,"Integrated Control Systems, Inc.",Infrared Heat
Swartwout,"Integrated Control Systems, Inc.",Fiberglass Dampers & Louvres
Swegon,"Integrated Control Systems, Inc.",Energy Recovery Air Handling Solutions
Systemair,"Integrated Control Systems, Inc.",Vertical Unit Ventilators & Fan Coil Units
Tempeff,"Integrated Control Systems, Inc.",Energy Recovery Units
Thermacor Process,"Integrated Control Systems, Inc.",Pre-Insulated Piping Systems
Tower Tech,"Integrated Control Systems, Inc.",Cooling Tower Systems
TPI Corporation,"Integrated Control Systems, Inc.",Electric Heat
Tridium,"Integrated Control Systems, Inc.",Temperature Control Systems
UVDI UltraViolet Devices Inc,"Integrated Control Systems, Inc.",Ultraviolet Air Purification Systems
Company,"Integrated Control Systems, Inc.",Products/Services
United CoolAir,"Integrated Control Systems, Inc.","Small Tonnage Split Systems, Ductless Mini Splits, Precision Cooling"
United Enertech,"Integrated Control Systems, Inc.","Architectural Louvers, Dampers, Sunshades, & Metal Products"
US Draft CO,"Integrated Control Systems, Inc.",Venting System Fans & Pipe Systems
Valent,"Integrated Control Systems, Inc.",Package Rooftop Units & Dedicated Outside Air Units
Vaughn,"Integrated Control Systems, Inc.","Electric, Solar Water Heaters & Tanks"
Vertiv,"Integrated Control Systems, Inc.",Custom Air Handling & Data Center Solutions
Vibro-Acoustics,"Integrated Control Systems, Inc.","Commercial/Industrial Noise Control, Vibration Insulation, Custom Acoustic Air Handling Systems"
Viconics,"Integrated Control Systems, Inc.",Zone Control Systems & Sensors
VIKON,"Integrated Control Systems, Inc.",Building Automation & Analytics
Weishaupt,"Integrated Control Systems, Inc.",Boiler Burners
Yaskawa,"Integrated Control Systems, Inc.",Variable Frequency Drives
Yazaki,"Integrated Control Systems, Inc.",Direct Fired & Hot Water Absorption Chillers
Alternate Energy Technologies,McCoy Sales Corporation,Solar panels & accessories
Ametek - US Gauge,McCoy Sales Corporation,Pressure gauges
Beacon Morris,McCoy Sales Corporation,Kick Space Heaters and Unit Heaters
Burnham,McCoy Sales Corporation,Cast Iron Boilers
Flexcon,McCoy Sales Corporation,Expansion tanks
Hydrolevel,McCoy Sales Corporation,Flow Control and Low Water Cutoffs
Insulation Solutions,McCoy Sales Corporation,Insulation products
Miljolo,McCoy Sales Corporation,"Pressure gauges, thermometers & accessories"
New Yorker,McCoy Sales Corporation,Cost iron boilers
Parker Hanfin,McCoy Sales Corporation,"Instrumentation Fittings; Ball Valves, Check Valves, Needle Valves and Plug Valves"
Raypak,McCoy Sales Corporation,Copper Finned Tube Boilers
Rehau,McCoy Sales Corporation,"Pex Potable Water Piping, Radiant Heating and Snowmelt Pex Piping"
Sterling,McCoy Sales Corporation,Heat Trim Baseboard
Taco,McCoy Sales Corporation,"Circuit Setters; Expansion Tanks; HVAC Pumps; Hydronic Pumps, Tanks, Heat Exchangers and accessories; Hydronic Specialties; Plate & Frame Heat Exchangers, Brazed Plate Heat Exchangers and Tube & Shell; Heat exchanges"
Thermaflo Engineering,McCoy Sales Corporation,"Steamfired water heaters, clean steam generators, deareators & boiler feed systems"
Twin City Hose,McCoy Sales Corporation,Rubber & Stainless Steel Flex Connectors
AC Fire Pump – a Xylem Brand,McNevin Company,"Split Case & Inline Fire Pumps, Vertical Turbine Fire Pumps, Skid Fire Pumps Packages"
Aegis,McNevin Company,Stock SGR – Shaft Grounding Rings for Motors working with VFDs to provide bearing protection
Aldrich,McNevin Company,"Low Pressure Vertical Steam Boilers, Dual Fuel Boilers & Vertical Firetube Water Heaters"
Amiad,McNevin Company,"HVAC Filter Systems, Skid Mounted Filtration Systems & Bag Filters"
Bell & Gossett,McNevin Company,"Centrifugal & ECM Pumps, Air Control Accessories, Heat Exchangers, Wastewater Pumps, Balance Valves & Packages"
Bryan Boilers,McNevin Company,"Flex Tube Steam Boilers, Condensing & Non- Condensing Boilers, Feedwater Dearators"
Burnham,McNevin Company,"Steam Firetube Boilers, Atmospheric Boilers, Forced Draft Boilers"
Caldyn,McNevin Company,"Pump Inertia Bases, Vibration Isolation & Seismic Restraints"
Cemline,McNevin Company,"Unfired Steam Generators, Steam Water Heaters, Plate Water Heaters, Electric Boilers & Buffer Tanks"
Fabtek,McNevin Company,"Custom Stainless Steel Condensate Return Units, Boiler Feed Units & Vacuum Pump Units"
Flow Conditioning,McNevin Company,Large Double Suction Diffusers & Trumpet Valves
Goulds – a Xylem Brand,McNevin Company,"Multistage Centrifugal Pumps, Stainless Steel Centrifugal Pumps & Pump Controllers"
Company,McNevin Company,Products/Services
Hoffman Specialty,McNevin Company,"Stock Condensate Return & Boiler Feed Units, Steam Traps & a Full Line of Steam Accessories"
Holby Valve Co,McNevin Company,Water Tempering Valves & Mixing Valves & Legionella Detection Devices
HYFAB,McNevin Company,Heat Transfer Skid Mounted Pumping Systems & Modular Enclosed Mechanical Room Systems
Intellihot,McNevin Company,Commercial Tankless Water Heaters & WiFi Capable Condensate Neutralization Products
Kadant-Johnson,McNevin Company,"Non-Electric, Pressure Powered Condensate Handling Equipment"
McDonnell & Miller – A Xylem Brand,McNevin Company,"Boiler Safety Controls, Flow Switches & Level Controls"
Miljoco,McNevin Company,American Made Thermometers & Pressure Gauges & A Full Line of Instrumentation Products
Robur,McNevin Company,"Gas Fired Heat Pumps, Water Source Heat Pumps, & Ga Absorption Chillers"
Siemens,McNevin Company,"Variable Frequency Drives, Control Valves, Damper Actuators & Sensors"
Therman Solutions,McNevin Company,"Condensing Boilers & Water Heaters, Near-Condensing Boilers & Water Heaters, Packaged Systems and Accessories"
Van-Packer,McNevin Company,"Freestanding Stack Design, Category II, III & IV Stainless Steel Chimney Venting Systems"
Vertiflo,McNevin Company,"Industrial Process Pumps, Cantilever Process Pumps & Industrial End Suction Pumps"
Victory Energy,McNevin Company,"Wetback Firetube Boilers, Dryback Firetube Boilers, Waste Heat Firetube Boilers"
Viessmann Manufacturing,McNevin Company,High Mass Commercial Fire Tube Condensing Boilers & Biomass Boiler Solutions
Airex,"Mountain Sales Equipment Co., Airex Evaporative",Heat/Cool Make-Up Air; Evaporative Humidifiers; Evaporative Humidifiers; Airex Evaporative Cooling Systems
[NFP logo,NFP,"A green hexagonal shape with ""NFP"" written inside]"
O,NFP,303.867.2069
O,NFP,303.867.2069
Ansul Engineering,SETPOINT,Fire Suppression
Belimo,SETPOINT,"Direct coupled damper actuators and temperature control valves ranging from ball to lobe from 1/2"" to 10"" 2-way and 3-way hot, chilled water and steam applications."
Cerus,SETPOINT,"Variable Frequency Drives, Motors and Starters with BACnet interfaces."
Contemporary Controls,SETPOINT,"Networking interface modules, wiring hubs, repeaters, bridges, routers and gateways."
Delta Card Access Controls,SETPOINT,"Native BACnet controllers, interfaces to biometric access products."
Delta CCTV Controls<br>Delta HVAC Controls,SETPOINT,"Digital video IP recordersBuilding automation controllers, operator workstation software, ORCAview software."
Delta Lighting Controls,SETPOINT,"Native BACnet controllers, occupancy sensors, light level sensors, Operator Workstation software."
Dwyer Instruments,SETPOINT,"Measuring, testing and monitoring devices"
"Functional Devices, Inc.",SETPOINT,"Relay in a Box (RIB), current sensors, contactors-2, 3 or 4 poles, UL listed enclosures, sub panels, power supplies, transformers, DIN or NEMA rails, PC Energy Management Systems, PLCs, Blaster Alarm systems, Fan/light controllers"
"GridLogix, Inc.",SETPOINT,"Fire Alarms, Fire alarm controls, Voice Evacuation Systems, Smoke detectors, Sensors"
Gamewell,SETPOINT,"Temperature sensors: space, duct, immersion, outside-NTC thermistors, RTD, ICs; Transducers: I-to-P, Pressure sensors, humidity sensors: outside, space, duct-2%, air and gas sensors, power monitors, flow transducers, DC power supplies."
Company,SETPOINT,Products/Services
"Greystone Energy Systems, Inc.",SETPOINT,"Full line of gas detectors and analyzers for toxic, flammable and combustible gases."
Honeywell Analytics,SETPOINT,"GridLogix, Inc. EnNet integration technology for energy information management."
Honeywell CSS,SETPOINT,"Commercial Security Systems, including card access, CCTV, and intrusion alarms."
Kidde,SETPOINT,"Fire suppression systems, smoke detection, linear thermal detection, incipient smoke detection."
MicroMain,SETPOINT,"Maintenance Management Software Package, Dedicatin micro, CCTV, IP cameras, web accessible DVRs"
Millennial Net,SETPOINT,Wireless Sensor Networking System; Remote Wireless Monitoring and Metering.
Quest Controls,SETPOINT,"Microprocessor-based controlling, monitoring, data collecting and alarm reporting systems management and operations."
Sauter Controls,SETPOINT,"Control valves: pneumatic, electronic, hydraulic and thermic-3/8"" to 10"". Pneumatic and electronic receiver controllers, temperature, pressure and humidity transmitters, pneumatic and electronic room thermostats, electric 14-day time clocks, pneumatic, hydraulic and electronic damper actuators, low volume I-to-P transducers."
Siemens,SETPOINT,Direct coupled damper actuators and temperature control valves.
SurgeX,SETPOINT,Surge suppressions and power conditioners
Tek-Air,SETPOINT,"Fume hood controls, air-flow measuring stations"
Toshiba,SETPOINT,"Variable frequency drives, motors, and starters from fractional to over 600 HP with BACnet, ModBus and serial interfaces."
"Ultratech Industries, Inc",SETPOINT,Airflow and pressurization measurement and control devices.
Veris Industries,SETPOINT,Building automation sensors.
Aerco International,"Taft Engineering, LLC","Gas-Fired, Condensing, fully modulating, hot water boilers; semi-instantaneous, heaters; Semi-Instantaneous, (water-to-water) and (steam-to-water) heaters."
Bryan Boilers,"Taft Engineering, LLC","Boilers (hot water, steam (low & high pressure)); Boiler Accessories (Deaeritions, transistor stations); Boiler Feedwater Systems, Blowdown separators."
"Century Controls, Inc","Taft Engineering, LLC",Boiler management controller.
"ComfortPro Systems, Inc.","Taft Engineering, LLC","Radiant floor, plumbing, snow melting PEX systems, preinsulated PEX."
Triad Boiler,"Taft Engineering, LLC",Hot water boilers
AO Smith Companies,TM Sales,Hot water heaters
American,TM Sales,Hot water heaters
Axiom,TM Sales,Hydronic Glycol Feeder systems.
Bradley Corp,TM Sales,Commercial plumbing fixtures and washroom accessories please
Caleffi,TM Sales,"Non-Electric Zone Valves, Thermostats, Temperature Controls"
Danfoss,TM Sales,"Distribution pipe, snow melting"
Ecoflex,TM Sales,Multipurpose pipe couplings.
Fernco Couplings,TM Sales,"Circulators, sump & effluent pumps."
Gerber,TM Sales,"Hydronic boilers, Volume water heaters"
Grundfos,TM Sales,"Brass, bronze, and iron. Gate, globe, check, ball and butterfly valves."
Laars Heating Systems,TM Sales,Water Hammer Arrestors and Plumbing Specialties.
Red-White Valve,TM Sales,"Tank Type Domestic Hot Water Heaters Gas & Electric. 33mbh-725mbh, 6 Kw-120 Kw."
Sioux Chief Mfg,TM Sales,Heat exchangers and Indirect water heaters
State Industries,TM Sales,"Radiant Floor, Snow-melt, and PEX Tubing"
Armstrong Ceilings,"Trane, Rocky Mountain District",Radiant Ceiling Systems
Aspen Fan Coils,"Trane, Rocky Mountain District",DX with Potable Hot Water Coils
Bousquet Technologies,"Trane, Rocky Mountain District","Custom Air Handling, Make-up Air, and Heat Recovery"
BRD Noise & Vibration Control Inc.,"Trane, Rocky Mountain District",Acoustical Products & Systems
CanFab,"Trane, Rocky Mountain District","Roof Curbs, Exhaust Economizers; Mixing Boxes, Concentric Diffusers, Filter Boxes, Flue Extensions, and Coil Guards"
Carel,"Trane, Rocky Mountain District",Humidification and Evaporative Cooling
City Scapes,"Trane, Rocky Mountain District",Architectural Equipment Screens
Curbs Plus,"Trane, Rocky Mountain District",Architectural Equipment Screens and Curb Accessories
enVerid,"Trane, Rocky Mountain District",HVAC Load Reduction® (HLR®) Technology; Indoor Air Cleaning and Outdoor Air Management
Evaporcool/Peak+ Energy,"Trane, Rocky Mountain District",Evaporative Condenser Pre-Cooling Systems for Air Cooled Rooftops and Chillers
Filtrine,"Trane, Rocky Mountain District",Specialty Process Chillers
Flow Control Industries,"Trane, Rocky Mountain District",Pressure Independent Control Valves
Genesis Air,"Trane, Rocky Mountain District","Catalytic Air Cleaners; Advanced Filtration, Ultraviolet Lamps, & Photocatalysis"
Manufacturer,"Trane, Rocky Mountain District",Product Description
Guntner,"Trane, Rocky Mountain District",Fluid Coolers and Condensers<br>www.guntnerus.com IntelliCUBE Custom<br>Fan Arrays
Johnson Air-Rotation,"Trane, Rocky Mountain District",Air Rotation Systems
KCC Manufacturing,"Trane, Rocky Mountain District","HVAC and roof system products Metal<br>Building and Conventional Roof Curbs, Curb<br>Adapters, Equipment Supports & more"
Krack,"Trane, Rocky Mountain District","Commercial Coils, Condensers, Condensing<br>Units and Process Cooling Equipment"
Lynxspring,"Trane, Rocky Mountain District",Smart Systems for Building Connectivity
MicroMetl,"Trane, Rocky Mountain District",HVAC Accessories
MJC,"Trane, Rocky Mountain District","Custom HVAC Units, HVAC Coatings and<br>HVAC Modifications"
Multiaqua,"Trane, Rocky Mountain District",Ducted and Ductless Chilled Water Air<br>Conditioning Systems
Napps,"Trane, Rocky Mountain District","Water-Cooled Chillers,<br>Condensing Units, Compressor and Modular<br>Chillers"
PoolPak,"Trane, Rocky Mountain District",Dehumidification Systems
Surna,"Trane, Rocky Mountain District",Energy and Water Solutions for Cannabis<br>Cultivation Environments
Synexis,"Trane, Rocky Mountain District",Biodefense System – Air and Surface<br>Cleaning
Systecon,"Trane, Rocky Mountain District",Packaged Pumping Systems
Thybar,"Trane, Rocky Mountain District",Trane Unit Modifications; Adapter Curbs;<br>Seismic & Vibration Curbs
Xetex,"Trane, Rocky Mountain District","DOAS, Custom Energy Recovery, Air<br>Handlers, and Desiccant Systems"
AAON,Western Mechanical Solutions,"Semi-custom and packaged equipment such as<br>packaged rooftop units, heat pumps, geothermal,<br>floor by floor units, modular air handlers, chillers,<br>and packaged mechanical rooms."
Manufacturer,Western Mechanical Solutions,Product Description
Annexair,Western Mechanical Solutions,"Custom air handlers specializing in water source heat pumps, air-cooled DX units, and air to air energy recovery technologies such as heat wheels, plate heat exchangers, and heat pipes."
Badger Meter,Western Mechanical Solutions,Flow instrumentation technology to measure and control anything moving through a pipe or pipeline.
EBTRON,Western Mechanical Solutions,Thermal dispersion airflow measurement.
Konvekta,Western Mechanical Solutions,High efficiency run around energy recovery systems.
Motivair,Western Mechanical Solutions,"High efficiency commercial, industrial, and mission critical cooling systems including chillers with integrated free cooling systems, simultaneous cooling and heat recovery chillers, and heat pumps"
Pro Hydronic Specialties,Western Mechanical Solutions,Hydronic balancing and flow control devices
Tandem Chillers,Western Mechanical Solutions,Modular chillers and chilling systems
United Metal Products,Western Mechanical Solutions,Custom air handling units
Andover Controls/TAC,Westover Corporation,"Items for operating and controlling heating, ventilating and air conditioning systems and equipment, Building Systems Controls, Energy management and conservation systems, Control systems & Instrumentation."
Bosch,Westover Corporation,CCTV and digital recorders
Integral,Westover Corporation,CCTV and digital recorders
Siemens,Westover Corporation,Variable frequency drives (VFDs)
Square D,Westover Corporation,Variable frequency drives (VFDs)
TAC,Westover Corporation,"CCTV, Security/Access Controls. System Integration"
